agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectID,projectTitle,regionName,tableName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
"United Nations Population Fund",Americas,PER,Peru,2018-10-01,Displacement,18-RR-FPA-039,2873,"To provide Life-saving protection and response to  Gender Based Violence (GBV) for Venezuelan migrants, focused on women in reproductive age and adolescents","Latin America and the Caribbean",P,105321.0,"Rapid Response",2018,"Sexual and/or Gender-Based Violence",Protection,"Venezuela regional emergency (2018)",""
"United Nations Children’s Fund",Americas,PER,Peru,2018-09-28,Displacement,18-RR-CEF-093,2874,"Improving the nutrition response for Venezuelan migrant families with children under 5 years of age arriving at the Binational Frontier Attention Centre (CEBAF) in Tumbes","Latin America and the Caribbean",P,121750.0,"Rapid Response",2018,Nutrition,Nutrition,"Venezuela regional emergency (2018)",""
"United Nations Children’s Fund",Americas,PER,Peru,2018-09-28,Displacement,18-RR-CEF-094,2876,"Protection of Venezuelan migrant and refugee children arriving at the Binational Frontier Attention Centre (CEBAF) in Tumbes","Latin America and the Caribbean",P,209707.0,"Rapid Response",2018,"Child Protection",Protection,"Venezuela regional emergency (2018)",""
"United Nations Children’s Fund",Americas,PER,Peru,2018-09-28,Displacement,18-RR-CEF-095,2877,"Improving hygiene conditions and services for migrant and refugee seekers arriving from Venezuela at the northern border of Tumbes","Latin America and the Caribbean",P,560108.0,"Rapid Response",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","Venezuela regional emergency (2018)",""
"World Health Organization",Americas,PER,Peru,2018-10-04,Displacement,18-RR-WHO-037,2869,"Ensuring rapid detection and control of outbreaks and other health risks at border entry points","Latin America and the Caribbean",P,163143.0,"Rapid Response",2018,Health,Health,"Venezuela regional emergency (2018)",""
"International Organization for Migration",Americas,PER,Peru,2018-10-01,Displacement,18-RR-IOM-030,2868,"Life-saving assistance for vulnerable Venezuelans in Tumbes, Peru","Latin America and the Caribbean",P,558709.0,"Rapid Response",2018,"Multi-sector ",Multi-Cluster,"Venezuela regional emergency (2018)",""
"United Nations Entity for Gender Equality and the Empowerment of Women ",Americas,COL,Colombia,2018-07-06,Displacement/Migration,18-RR-WOM-005,2766,"Access to protection and lifesaving mechanisms against GBV, trafficking in persons and sexual exploitation","Latin America and the Caribbean",P,284004.0,"Rapid Response",2018,"Sexual and/or Gender-Based Violence",Protection,"Venezuela regional emergency (2018)",""
"United Nations Population Fund",Americas,COL,Colombia,2018-07-06,Displacement/Migration,18-RR-FPA-025,2761,"Sexual and Reproductive health rights for migrant population, with emphasis on women, adolescents and young people","Latin America and the Caribbean",P,286330.0,"Rapid Response",2018,Health,Health,"Venezuela regional emergency (2018)",""
"International Organization for Migration",Americas,COL,Colombia,2018-07-10,Displacement/Migration,18-RR-IOM-022,2759,"Temporary shelter contribution for people affected by the Venezuelan crisis","Latin America and the Caribbean",P,233146.0,"Rapid Response",2018,Shelter,"Emergency Shelter and NFI","Venezuela regional emergency (2018)",""
"United Nations Population Fund",Americas,ECU,Ecuador,2018-09-28,Displacement,18-RR-FPA-036,2870,"Safe spaces for venezuelan women and adolescents in a situation of mobility","Latin America and the Caribbean",P,100340.0,"Rapid Response",2018,"Sexual and/or Gender-Based Violence",Protection,"Venezuela regional emergency (2018)",""
"United Nations Population Fund",Americas,ECU,Ecuador,2018-09-28,Displacement,18-RR-FPA-037,2871,"Respond to the life-saving SRH needs of migrant Venezuelan women and girls in border areas","Latin America and the Caribbean",P,116577.0,"Rapid Response",2018,Health,Health,"Venezuela regional emergency (2018)",""
"International Organization for Migration",Americas,BRA,Brazil,2018-10-04,Displacement/Migration,18-RR-IOM-032,2891,"Life-saving food and shelter assistance for vulnerable Venezuelans in Roraima State","Latin America and the Caribbean",P,400000.0,"Rapid Response",2018,"Multi-sector ",Multi-Cluster,"Venezuela regional emergency (2018)",""
"International Organization for Migration",Americas,VEN,Venezuela,2018-11-15,Displacement/Migration,18-RR-IOM-035,2945,"Life-saving assistance to Venezuelan people on the move in border communities in the states of Apure, Tachira and Zulia","Latin America and the Caribbean",P,400000.0,"Rapid Response",2018,"Multi-sector ",Multi-Cluster,"",""
"United Nations High Commissioner for Refugees",Americas,VEN,Venezuela,2018-11-15,Displacement/Migration,18-RR-HCR-034,2942,"Provision of life-saving nutrition, WASH and protection assistance to vulnerable refugees and local host communities in Venezuela","Latin America and the Caribbean",P,762268.0,"Rapid Response",2018,"Multi-sector ",Multi-Cluster,"",""
"United Nations High Commissioner for Refugees",Americas,VZR,"Venezuela Regional Refugee and Migration Crisis",2018-05-25,Displacement,18-RR-HCR-018,2700,"Protection and multi-sectoral life saving assistance to Venezuelans refugees and asylum seekers and other persons of concern to UNHCR","Latin America and the Caribbean",P,4603340.0,"Rapid Response",2018,"Multi-sector ",Multi-Cluster,"Venezuela regional emergency (2018)",""
"International Organization for Migration",Americas,VZR,"Venezuela Regional Refugee and Migration Crisis",2018-05-24,Displacement,18-RR-IOM-015,2701,"Life saving assistance to Venezuelan migrants in vulnerable situations and host communities","Latin America and the Caribbean",P,1600000.0,"Rapid Response",2018,"Multi-sector ",Multi-Cluster,"Venezuela regional emergency (2018)",""
"Food and Agriculture Organization",Americas,COL,Colombia,2018-07-10,Displacement/Migration,18-RR-FAO-017,2769,"Emergency assistance in food security and nutrition to face the migration flow from Venezuela, in the departments of La Guajira, Norte de Santander and Arauca","Latin America and the Caribbean",P,672143.0,"Rapid Response",2018,Agriculture,"Food Security","Venezuela regional emergency (2018)",""
"World Food Programme",Americas,COL,Colombia,2018-07-10,Displacement/Migration,18-RR-WFP-041,2771,"Emergency assistance in food security and nutrition to face the migration flow from Venezuela, in the departments of La Guajira, Norte de Santander and Arauca","Latin America and the Caribbean",P,1342000.0,"Rapid Response",2018,"Food Aid","Food Security","Venezuela regional emergency (2018)",""
"World Health Organization",Americas,COL,Colombia,2018-07-07,Displacement/Migration,18-RR-WHO-026,2760,"Increase the access of the migrant population to complementary health services that protect and save lives in La Guajira, Norte de Santander and Arauca","Latin America and the Caribbean",P,965182.0,"Rapid Response",2018,Health,Health,"Venezuela regional emergency (2018)",""
"United Nations Children’s Fund",Americas,COL,Colombia,2018-07-10,Displacement/Migration,18-RR-CEF-071,2770,"Emergency assistance in food security and nutrition to face the migration flow from Venezuela, in the departments of La Guajira, Norte de Santander and Arauca","Latin America and the Caribbean",P,235935.0,"Rapid Response",2018,"Food Aid","Food Security","Venezuela regional emergency (2018)",""
"United Nations Children’s Fund",Americas,COL,Colombia,2018-06-29,Displacement/Migration,18-RR-CEF-068,2762,"Education in emergencies assistance for children affected by mixed flows from Venezuela","Latin America and the Caribbean",P,649754.0,"Rapid Response",2018,Education,Education,"Venezuela regional emergency (2018)",""
"United Nations Children’s Fund",Americas,COL,Colombia,2018-06-29,Displacement/Migration,18-RR-CEF-069,2763,"Protection of children against recruitment, sexual violence, landmines and family separation","Latin America and the Caribbean",P,460999.0,"Rapid Response",2018,"Child Protection",Protection,"Venezuela regional emergency (2018)",""
"United Nations Children’s Fund",Americas,COL,Colombia,2018-06-29,Displacement/Migration,18-RR-CEF-070,2764,"Access to safe water, sanitation and hygiene in the context of the Venezuela migration emergency","Latin America and the Caribbean",P,800000.0,"Rapid Response",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","Venezuela regional emergency (2018)",""
"United Nations High Commissioner for Refugees",Americas,GTM,Guatemala,2018-07-03,Volcano,18-RR-HCR-019,2743,"Protection emergency response to affected population caused by the eruption of the de Fuego volcano","Latin America and the Caribbean",P,192601.0,"Rapid Response",2018,Protection,Protection,"",""
"International Organization for Migration",Americas,GTM,Guatemala,2018-07-02,Volcano,18-RR-IOM-020,2741,"Comprehensive response for the Volcán de Fuego emergency","Latin America and the Caribbean",P,319980.0,"Rapid Response",2018,"Camp Coordination and Camp Management ","Camp Coordination / Management","",""
"United Nations Children’s Fund",Americas,GTM,Guatemala,2018-07-07,Volcano,18-RR-CEF-064,2747,"Prevention of morbidity and mortality associated with acute malnutrition in children from communities affected by the Fuego Volcano Eruption","Latin America and the Caribbean",P,111280.0,"Rapid Response",2018,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Americas,GTM,Guatemala,2018-07-06,Volcano,18-RR-CEF-065,2748,"Children affected by the Fuego Volcano Emergency return to safe and protective learning spaces","Latin America and the Caribbean",P,117576.0,"Rapid Response",2018,Education,Education,"",""
"United Nations Children’s Fund",Americas,GTM,Guatemala,2018-07-06,Volcano,18-RR-CEF-066,2749,"Psychosocial support to children and their families affected by Volcan de Fuego Eruption","Latin America and the Caribbean",P,179063.0,"Rapid Response",2018,"Child Protection",Protection,"",""
"United Nations Children’s Fund",Americas,GTM,Guatemala,2018-07-06,Volcano,18-RR-CEF-063,2739,"Humanitarian response to water, sanitation and hygiene needs in communities affected by the Volcano eruption","Latin America and the Caribbean",P,173083.0,"Rapid Response",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Health Organization",Americas,GTM,Guatemala,2018-07-06,Volcano,18-RR-WHO-024,2752,"Support to the emergency health system caused by the eruption of de Fuego Volcano in Guatemala","Latin America and the Caribbean",P,311786.0,"Rapid Response",2018,Health,Health,"",""
"World Food Programme",Americas,GTM,Guatemala,2018-07-06,Volcano,18-RR-WFP-040,2750,"Assistance to families affected by Fuego Volcano eruption through cash transfers, as well as logistic support to shelters and collecting centres","Latin America and the Caribbean",P,154598.0,"Rapid Response",2018,"Food Aid","Food Security","",""
"Food and Agriculture Organization",Asia,PRK,"Democratic People's Republic of Korea",2018-10-22,Multiple,18-UF-FAO-030,2934,"Emergency Support to Increase Soybean and Vegetable production to Improve Food & Nutrition in the Vulnerable Population","Eastern Asia",P,500000.0,"Underfunded Emergencies",2018,Agriculture,"Food Security","",""
"World Food Programme",Asia,PRK,"Democratic People's Republic of Korea",2018-10-22,Multiple,18-UF-WFP-064,2932,"Undernutrition prevention with essential nutrition support to U-5 children, Pregnant and Lactating Women (PLWG) and TB patients","Eastern Asia",P,2745000.0,"Underfunded Emergencies",2018,Nutrition,Nutrition,"",""
"World Health Organization",Asia,PRK,"Democratic People's Republic of Korea",2018-10-22,Multiple,18-UF-WHO-044,2933,"Increasing availability and accessibility of MDR TB medicines, TB diagnostics, and critical, life-saving emergency medicines, to service users (patients) in selected provinces of DPRK","Eastern Asia",P,3478487.0,"Underfunded Emergencies",2018,Health,Health,"",""
"United Nations Development Programme",Asia,PAK,Pakistan,2018-03-20,"Residual humanitarian needs post-conflict",18-UF-UDP-004,2575,"Continuation of education for children in areas of return in SWA and Kurram Agencies","Southern Asia",P,1150000.0,"Underfunded Emergencies",2018,Education,Education,"",""
"World Food Programme",Asia,PAK,Pakistan,2018-03-09,"Residual humanitarian needs post-conflict",18-UF-WFP-013,2582,"Girls and boys less than five years of age and pregnant and lactating mothers with acute malnutrition in targeted Agencies of FATA accessing appropriate acute malnutrition management services","Southern Asia",P,550238.0,"Underfunded Emergencies",2018,Nutrition,Nutrition,"",PAK-18/N/125394/561
"World Food Programme",Asia,PAK,Pakistan,2018-03-23,"Residual humanitarian needs post-conflict",18-UF-WFP-012,2579,"Critical support to ensure food security and agriculture based subsistence livelihoods for recently returned families to FATA","Southern Asia",P,1199936.0,"Underfunded Emergencies",2018,"Food Aid","Food Security","",PAK-18/F/125523/561
"United Nations Entity for Gender Equality and the Empowerment of Women ",Asia,BGD,Bangladesh,2018-10-08,Displacement,18-UF-WOM-007,2840,"Providing life-saving emergency health services – including reproductive, maternal, new-born, child and adolescent health – to Rohingya refugees","Southern Asia",P,199897.0,"Underfunded Emergencies",2018,Health,Health,"",BGD-18/P-HR-RL/126352/14812
"World Health Organization",Asia,PAK,Pakistan,2018-03-09,"Residual humanitarian needs post-conflict",18-UF-WHO-008,2583,"Girls and boys less than five years of age and pregnant and lactating mothers with acute malnutrition in targeted Agencies of FATA accessing appropriate acute malnutrition management services","Southern Asia",P,246000.0,"Underfunded Emergencies",2018,Nutrition,Nutrition,"",PAK-18/N/125394/122
"United Nations High Commissioner for Refugees",Asia,BGD,Bangladesh,2018-09-25,Displacement,18-UF-HCR-028,2844,"Emergency shelter and protection assistance to refugees in Bangladesh","Southern Asia",P,2902556.0,"Underfunded Emergencies",2018,"Multi-sector refugee assistance",Multi-Cluster,"","BGD-18/P-HR-RL/126341/120,BGD-18/S-NF/126311/120,BGD-18/CCCM/126278/120"
"United Nations Children’s Fund",Asia,PRK,"Democratic People's Republic of Korea",2018-10-23,Multiple,18-UF-CEF-111,2929,"Life-saving interventions to reduce preventable mortality and morbidity among U5 children and pregnant and lactating women","Eastern Asia",P,1524971.0,"Underfunded Emergencies",2018,Health,Health,"",""
"United Nations Children’s Fund",Asia,PRK,"Democratic People's Republic of Korea",2018-10-23,Multiple,18-UF-CEF-112,2930,"Life-saving treatment of Severe Acute Malnutrition (SAM) children","Eastern Asia",P,1154949.0,"Underfunded Emergencies",2018,Nutrition,Nutrition,"",""
